,ISO,Debt_sustainability,Filed Patents,BLI_scaled,carbon_intensity,IMF-Adapted Readiness score_scaled,Vulnerability score_scaled,Biocapacity,Renewable_value_scaled,Mineral_value_scaled,GCP_scaled,Sovereign risk,Biocapacity_GDP,GeoV,GeoC,Renewable_value_pc_scaled,Storage_Potential_Per_Capita,Storage_Potential_Per_GDP,manufacturing_share,bii,TDG,External_Debt_GDP,Debt_Export_GDP,Debt_Service_export,Debt_Budget_Revenue,Short_term_on_gov_debt,Short_term_on_reserves,debt_service_UNCTAD,interest_rate_GDP_growth_differential
38,CRI,46.03960382474011,0.021423164629879126,3.57213556360243,0.09482856295707201,51.76351098058194,32.67380150832716,0.4378567412911069,5.574575441102011,1.0590409319370666,1877.1976709869673,30.0,0.5981221138116338,49.85341500661824,73.00695371640859,17.18969704114687,97.78260286990985,44.574107388287096,29.09758324862129,0.649609863758087,62.823,33.35964307130507,27.2035996022002,13.4669023349627,85.4020156739171,45.2514324167112,32.61366531634928,92.74156461890371,21.4946113883117
39,CYP,54.63416683494933,0.06083782029614748,1056.914522931071,39.858836317330336,63.898902286660864,27.221730004613427,0.023306938743314787,,,2302.497384255657,52.40639209747315,0.08860040581449234,29.389704083712946,33.320063484044496,,19.059533140446103,5.842261401331963,8.545879988579419,1.0,71.933,62.04840507914093,41.46528846058652,8.278013833756859,67.92689205902654,82.22690293608693,56.65912977159517,79.85923850407688,21.31063087027415
40,CZE,39.12677287735276,0.08731923213030363,314.7944033456504,32.66446638136299,72.51440112152895,3.025662364224398,1.5408028036144932,1.260692566885951,0.19795979058965293,5991.382647463159,85.0,0.5276849219939925,7.322226487298867,27.156261579259123,7.310382291295182,92.30850107439392,22.56648773262183,43.28061313634802,0.61197692155838,43.284,38.78174232940967,9.882597194606376,1.394223253476184,60.11022410813981,65.71814787918962,31.47801398456564,77.41757651842764,24.07443062835996
41,DNK,39.29977182385701,0.5583908188250902,304.354563677842,9.842757485245466,96.78269997890567,24.494568311371193,1.4397740332860953,0.46727178729765667,0.19795979058965293,5801.263740537891,100.0,0.4152310088555926,14.20713467607277,44.54151524699632,5.976615404263845,121.35831260484755,13.691716742857944,34.28514249280206,0.439850449562073,30.325,49.6426346280972,14.69106031856489,1.69128885568125,49.38441192912306,75.21931989517046,39.20450102639872,72.42745373036462,21.11227603131294
42,DOM,49.12064495771121,0.009164353758337181,75.06401356294941,43.33241504927917,47.05602786674641,45.92565318089577,0.45335341920055344,3.5882586693239142,5.65781449609254,2207.2085339278465,40.0,0.44033126769548164,51.94734947252295,72.26090837720066,7.094093825401458,37.90364871831155,27.536994724127723,29.37742306485421,0.588196098804474,57.954,35.49316614534382,41.98331940289091,21.08021438012884,82.38862276047459,56.91493513706781,35.36519534304843,86.83020034742594,24.07615110302054
43,ECU,46.92893137975108,0.022097597590449394,3525.0874637872885,11.906589853029285,41.60033797958199,54.180709150481874,1.9019879882900146,4.5625344338003355,1.4627051136586755,704.3080087144397,20.0,1.8868392268672243,37.80202602504257,71.13825932435655,5.456234210530854,115.25660690230417,132.10859690497117,26.498126674570603,0.79466187953949,57.303,35.93826331350806,25.30130241528735,6.357101111531847,66.78662766709547,77.22464898713449,48.82240522112527,78.58051127124762,26.04652243082963
44,EGY,59.37475069768283,0.01573015699212421,1943.7370730996843,42.91506328808609,36.55621109029063,36.76781038169909,1.4592536291896876,15.731410727668246,0.891782459974196,4019.160437939903,31.666666666666664,0.4327272294344673,44.33520597987785,74.02206143157268,10.46550388198186,14.674846803456315,32.78589510377336,31.936806254469772,1.0,87.044,35.89672476724422,48.68754375036718,38.3029410965928,90.56518951830908,57.87524827396494,39.45559886749069,100.0,36.54551000517661
45,SLV,53.07405232490392,0.0019241175639798844,214.501131389361,7.399137041663597,35.94695972929902,42.04686184534818,0.1820389105149324,3.447429492231244,0.19795979058965293,2430.9740819090275,24.292237758636475,0.6383162507340548,48.93068824641256,87.3726666555183,3.1975227033729507,23.366705126378324,33.633972430299664,29.949932919087413,0.35664290189743,78.325,36.97711589079506,37.39677381390169,18.09519999765075,78.8247393708752,74.61069570073509,38.8013793347497,91.80540410616565,22.83016270926217
46,GNQ,30.82990734084556,0.0,9135.445800313399,45.33576742792462,19.099601669068182,40.46693028974841,0.24677729349186564,,,0.0,,2.382803805564687,37.64648973295176,50.03173432107806,,131.30522582501425,151.85722390005566,53.538559424916656,0.91527533531189,29.48,9.854362723007512,12.14778446390835,2.240052059544951,67.64805511663009,33.79447551052615,14.59770852239039,79.37708722454258,28.32964044706002
47,EST,37.51486012294717,0.006883183450525978,535.6617011823788,28.41427082958002,74.45992060583244,20.04564221630428,0.7461160117671568,2.7831485330407966,0.19795979058965293,4814.56694690507,83.33333333333336,2.135696151435414,9.981416109149857,37.39170504783086,15.811434282566408,545.9303916122107,139.9190792632571,25.318721617096685,0.872553944587708,23.11,30.33972152875708,9.305125965527282,0.3344267536631378,47.7036830853724,82.69645663390048,42.66907623280555,76.08366400777314,25.39158689872541
